	AccSpeciesName	ObservationID	TraitID	TraitName	DataName	StdValue	UnitName
18450	Dactylis glomerata	2284338	1111	Seedbank density	Seedbank density	0.0	1/m2
18446	Dactylis glomerata	2284338	2807	Seedbank number of layers	Seedbank number of layers	1.0	1/plant
18447	Dactylis glomerata	2284338	2808	Seedbank thickness of top layer	Seedbank thickness of top layer (cm)	50.0	mm
18449	Dactylis glomerata	2284338	2809	Seedbank duration	Seedbank duration (month)	18.0	month
18458	Dactylis glomerata	2284339	159	Seedbank type	Seedbank type	transient	
18466	Dactylis glomerata	2284339	1111	Seedbank density	Seedbank density	0.0	1/m2
18463	Dactylis glomerata	2284339	2808	Seedbank thickness of top layer	Seedbank thickness of top layer (cm)	65.0	mm
18465	Dactylis glomerata	2284339	2809	Seedbank duration	Seedbank duration (month)	15.0	month
18474	Dactylis glomerata	2284340	159	Seedbank type	Seedbank type	transient	
18482	Dactylis glomerata	2284340	1111	Seedbank density	Seedbank density	0.0	1/m2
18479	Dactylis glomerata	2284340	2808	Seedbank thickness of top layer	Seedbank thickness of top layer (cm)	20.0	mm
