index	AccSpeciesName	ObservationID	TraitID	TraitName	DataName	StdValue	UnitName
35809	Achillea millefolium	2474812	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.196852163556483	g/g
35831	Achillea millefolium	2474837	42	Plant growth form	Plant growth form	herb	
36052	Trifolium pratense	2475293	42	Plant growth form	Plant growth form	herb	
36576	Trifolium pratense	2475319	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Shoot dry mass per plant	1.66342857142857	g
36761	Achillea millefolium	2475334	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.214189189189189	g/g
36780	Achillea millefolium	2475336	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.206217616580311	g/g
36799	Achillea millefolium	2475338	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.176978417266187	g/g
37057	Achillea millefolium	2475368	42	Plant growth form	Plant growth form	forb	
37136	Achillea millefolium	2475828	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.368238213	g/g
37198	Achillea millefolium	2475834	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	32.7340920153743	mg/g
37262	Dactylis glomerata	2487790	3106	Plant height vegetative	Plant height vegetative	0.29	m
37376	Achillea millefolium	2487850	42	Plant growth form	Plant growth form	herb	
37397	Dactylis glomerata	2488046	42	Plant growth form	Plant growth form	herb	
37600	Dactylis glomerata	2488146	55	Leaf dry mass (single leaf)	Leaf dry mass	57.0	mg
37851	Dactylis glomerata	2488329	163	Leaf fresh mass	Leaf fresh mass	0.79	g
37959	Achillea millefolium	2490426	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.21102248	g/g
38130	Achillea millefolium	2491267	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.149456522	g/g
38436	Dactylis glomerata	2501452	42	Plant growth form	Plant growth form	G	
38866	Trifolium pratense	2506938	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Whole plant aboveground vegetative dry mass per individual plant	0.678	g
39123	Trifolium pratense	2506951	42	Plant growth form	Plant growth form	herb	
39366	Trifolium pratense	2506963	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Whole plant aboveground vegetative dry mass per individual plant	0.225	g
39606	Trifolium pratense	2506975	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Whole plant aboveground vegetative dry mass per individual plant	1.514	g
40263	Trifolium pratense	2507008	42	Plant growth form	Plant growth form	herb	
40426	Trifolium pratense	2507016	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Whole plant aboveground vegetative dry mass per individual plant	0.233	g
40443	Trifolium pratense	2507017	42	Plant growth form	Plant growth form	herb	
40746	Trifolium pratense	2507032	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Whole plant aboveground vegetative dry mass per individual plant	0.388	g
41066	Trifolium pratense	2507048	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Whole plant aboveground vegetative dry mass per individual plant	1.016	g
41283	Trifolium pratense	2507059	42	Plant growth form	Plant growth form	herb	
42243	Trifolium pratense	2507107	42	Plant growth form	Plant growth form	herb	
43059	Trifolium pratense	2507148	42	Plant growth form	Plant growth form	herb	
43062	Trifolium pratense	2507148	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Whole plant aboveground vegetative dry mass per individual plant	0.374	g
43323	Trifolium pratense	2507161	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Shoot dry mass per plant	0.57	g
43582	Trifolium pratense	2507174	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Whole plant aboveground vegetative dry mass per individual plant	10.402	g
43619	Trifolium pratense	2507176	42	Plant growth form	Plant growth form	herb	
44079	Trifolium pratense	2507199	42	Plant growth form	Plant growth form	herb	
44439	Trifolium pratense	2507217	42	Plant growth form	Plant growth form	herb	
44539	Trifolium pratense	2507222	42	Plant growth form	Plant growth form	herb	
44582	Trifolium pratense	2507224	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Whole plant aboveground vegetative dry mass per individual plant	1.52	g
44622	Trifolium pratense	2507226	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Whole plant aboveground vegetative dry mass per individual plant	1.049	g
44762	Trifolium pratense	2507233	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Whole plant aboveground vegetative dry mass per individual plant	0.44	g
45019	Trifolium pratense	2507246	42	Plant growth form	Plant growth form	herb	
45239	Trifolium pratense	2507257	42	Plant growth form	Plant growth form	herb	
45622	Trifolium pratense	2507276	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Whole plant aboveground vegetative dry mass per individual plant	0.686	g
45942	Trifolium pratense	2507292	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Whole plant aboveground vegetative dry mass per individual plant	3.173	g
46279	Trifolium pratense	2507309	42	Plant growth form	Plant growth form	herb	
46322	Trifolium pratense	2507311	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Whole plant aboveground vegetative dry mass per individual plant	0.318	g
46422	Trifolium pratense	2507316	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Whole plant aboveground vegetative dry mass per individual plant	1.953	g
46579	Trifolium pratense	2507324	42	Plant growth form	Plant growth form	herb	
46722	Trifolium pratense	2507331	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Whole plant aboveground vegetative dry mass per individual plant	0.94	g
46902	Trifolium pratense	2507340	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Whole plant aboveground vegetative dry mass per individual plant	0.738	g
46999	Trifolium pratense	2507345	42	Plant growth form	Plant growth form	herb	
47182	Trifolium pratense	2507354	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Whole plant aboveground vegetative dry mass per individual plant	0.623	g
47319	Trifolium pratense	2507361	42	Plant growth form	Plant growth form	herb	
47586	Achillea millefolium	2508251	13	Leaf carbon (C) content per leaf dry mass	Leaf carbon content per dry mass	385.5663204	mg/g
51410	Dactylis glomerata	2508335	55	Leaf dry mass (single leaf)	Leaf dry mass	128.0	mg
47645	Trifolium pratense	2508521	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded (1)	21.235	mm2 mg-1
116234	Trifolium pratense	2508522	50	Leaf nitrogen (N) content per leaf area	Leaf nitrogen content per area (Narea)	1.9566719874697	g m-2
47779	Dactylis glomerata	2510505	3106	Plant height vegetative	Plant height vegetative	0.5588	m
47879	Dactylis glomerata	2510613	163	Leaf fresh mass	Leaf fresh mass including petiole	0.14	g
47889	Dactylis glomerata	2510614	3106	Plant height vegetative	Plant height vegetative	0.3175	m
47901	Dactylis glomerata	2510615	163	Leaf fresh mass	Leaf fresh mass including petiole	0.16	g
47923	Dactylis glomerata	2510649	163	Leaf fresh mass	Leaf fresh mass including petiole	1.37	g
47937	Dactylis glomerata	2510650	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.285714285714286	g/g
47955	Dactylis glomerata	2510808	3106	Plant height vegetative	Plant height vegetative	0.4572	m
47977	Dactylis glomerata	2510823	3106	Plant height vegetative	Plant height vegetative	0.3048	m
48034	Achillea millefolium	2513785	42	Plant growth form	Plant growth form	herbaceous	
48081	Achillea millefolium	2513788	42	Plant growth form	Plant growth form	herbaceous	
48161	Achillea millefolium	2513793	3106	Plant height vegetative	Plant height vegetative	0.04	m
48177	Achillea millefolium	2513794	3106	Plant height vegetative	Plant height vegetative	0.035	m
48430	Achillea millefolium	2513810	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Plant dry mass (aboveground)	0.8683	g
48478	Dactylis glomerata	2514761	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	32.669	mg/g
116239	Dactylis glomerata	2514763	50	Leaf nitrogen (N) content per leaf area	Leaf nitrogen content per area (Narea)	0.546940963613215	g m-2
48521	Dactylis glomerata	2514764	13	Leaf carbon (C) content per leaf dry mass	Leaf carbon content per dry mass	457.35	mg/g
48572	Dactylis glomerata	2514768	3106	Plant height vegetative	Plant height vegetative	0.67	m
48601	Dactylis glomerata	2514770	55	Leaf dry mass (single leaf)	Leaf dry mass	23.35	mg
48842	Dactylis glomerata	2514929	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	35.408	mg/g
116264	Dactylis glomerata	2514930	50	Leaf nitrogen (N) content per leaf area	Leaf nitrogen content per area (Narea)	1.14728356116369	g m-2
48853	Dactylis glomerata	2514930	55	Leaf dry mass (single leaf)	Leaf dry mass	14.35	mg
48897	Achillea millefolium	2514963	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.146785	g/g
48970	Achillea millefolium	2514968	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Plant dry mass (aboveground)	0.6539	g
48993	Achillea millefolium	2514970	55	Leaf dry mass (single leaf)	Leaf dry mass	17.5	mg
49040	Dactylis glomerata	2515083	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Plant dry mass (aboveground)	0.5021	g
116276	Dactylis glomerata	2515084	50	Leaf nitrogen (N) content per leaf area	Leaf nitrogen content per area (Narea)	0.64918513505893	g m-2
49048	Dactylis glomerata	2515084	3106	Plant height vegetative	Plant height vegetative	0.52	m
49077	Dactylis glomerata	2515086	55	Leaf dry mass (single leaf)	Leaf dry mass	12.45	mg
49095	Dactylis glomerata	2515087	13	Leaf carbon (C) content per leaf dry mass	Leaf carbon content per dry mass	438.433	mg/g
49096	Dactylis glomerata	2515087	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Plant dry mass (aboveground)	0.5849	g
49122	Dactylis glomerata	2515089	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	31.594	mg/g
49175	Achillea millefolium	2515123	55	Leaf dry mass (single leaf)	Leaf dry mass	16.45	mg
49191	Achillea millefolium	2515124	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.143636	g/g
49206	Achillea millefolium	2515125	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	25.267	mg/g
49204	Achillea millefolium	2515125	163	Leaf fresh mass	Leaf fresh mass	0.039	g
49244	Achillea millefolium	2515128	3106	Plant height vegetative	Plant height vegetative	0.195	m
49275	Achillea millefolium	2515130	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.296183	g/g
49287	Achillea millefolium	2515131	55	Leaf dry mass (single leaf)	Leaf dry mass	14.8	mg
49357	Dactylis glomerata	2515246	55	Leaf dry mass (single leaf)	Leaf dry mass	24.0	mg
49426	Dactylis glomerata	2515251	3106	Plant height vegetative	Plant height vegetative	0.58	m
49446	Dactylis glomerata	2515252	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Plant dry mass (aboveground)	0.7094	g
49457	Achillea millefolium	2515283	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.193502	g/g
49485	Achillea millefolium	2515285	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.1875	g/g
49483	Achillea millefolium	2515285	55	Leaf dry mass (single leaf)	Leaf dry mass	12.0	mg
49515	Achillea millefolium	2515287	13	Leaf carbon (C) content per leaf dry mass	Leaf carbon content per dry mass	430.0	mg/g
116310	Achillea millefolium	2515288	50	Leaf nitrogen (N) content per leaf area	Leaf nitrogen content per area (Narea)	1.28788405797101	g m-2
116315	Dactylis glomerata	2515393	50	Leaf nitrogen (N) content per leaf area	Leaf nitrogen content per area (Narea)	0.872119850187266	g m-2
116316	Dactylis glomerata	2515394	50	Leaf nitrogen (N) content per leaf area	Leaf nitrogen content per area (Narea)	0.802963890628261	g m-2
49642	Dactylis glomerata	2515396	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Plant dry mass (aboveground)	0.5191	g
49680	Dactylis glomerata	2515399	163	Leaf fresh mass	Leaf fresh mass	0.0545	g
49696	Dactylis glomerata	2515400	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	18.663	mg/g
49712	Dactylis glomerata	2515401	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Plant dry mass (aboveground)	1.3282	g
49735	Achillea millefolium	2515433	55	Leaf dry mass (single leaf)	Leaf dry mass	17.3	mg
49752	Achillea millefolium	2515434	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	23.585	mg/g
49750	Achillea millefolium	2515434	163	Leaf fresh mass	Leaf fresh mass	0.0505	g
49861	Achillea millefolium	2515442	55	Leaf dry mass (single leaf)	Leaf dry mass	25.3	mg
49968	Trifolium pratense	2546300	163	Leaf fresh mass	Leaf fresh mass	0.1198	g
50016	Trifolium pratense	2546305	13	Leaf carbon (C) content per leaf dry mass	Leaf carbon content per dry mass	475.933	mg/g
50094	Dactylis glomerata	2658140	3106	Plant height vegetative	Plant height vegetative	0.35	m
116336	Trifolium pratense	2677540	50	Leaf nitrogen (N) content per leaf area	Leaf nitrogen content per area (Narea)	1.23288513020623	g m-2
51454	Dactylis glomerata	2689073	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.24787	g/g
51547	Achillea millefolium	2724987	163	Leaf fresh mass	Leaf fresh mass: in case of compound leaves leaf; petiole included	0.0963	g
51601	Achillea millefolium	2724993	163	Leaf fresh mass	Leaf fresh mass: in case of compound leaves leaf; petiole included	0.0739	g
51647	Achillea millefolium	2724998	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.217863608931804	g/g
51682	Achillea millefolium	2725002	163	Leaf fresh mass	Leaf fresh mass: in case of compound leaves leaf; petiole included	0.1166	g
51764	Achillea millefolium	2725011	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.276767676767677	g/g
51809	Achillea millefolium	2725016	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.263196480938416	g/g
51871	Achillea millefolium	2725023	163	Leaf fresh mass	Leaf fresh mass: in case of compound leaves leaf; petiole included	0.1248	g
51889	Achillea millefolium	2725025	163	Leaf fresh mass	Leaf fresh mass: in case of compound leaves leaf; petiole included	0.0572	g
51962	Achillea millefolium	2725033	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.304130162703379	g/g
51989	Achillea millefolium	2725036	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.277844311377246	g/g
52284	Achillea millefolium	2725069	55	Leaf dry mass (single leaf)	Leaf dry mass: in case of compound leaves leaf; petiole included	56.7	mg
52302	Achillea millefolium	2725071	55	Leaf dry mass (single leaf)	Leaf dry mass: in case of compound leaves leaf; petiole included	31.2	mg
52339	Achillea millefolium	2725075	163	Leaf fresh mass	Leaf fresh mass: in case of compound leaves leaf; petiole included	0.063	g
52349	Achillea millefolium	2725076	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.185754189944134	g/g
52529	Achillea millefolium	2725096	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.278439869989166	g/g
52574	Achillea millefolium	2725101	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.327526132404181	g/g
52590	Achillea millefolium	2725103	55	Leaf dry mass (single leaf)	Leaf dry mass: in case of compound leaves leaf; petiole included	15.3	mg
52646	Achillea millefolium	2725109	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.262610088070456	g/g
52644	Achillea millefolium	2725109	55	Leaf dry mass (single leaf)	Leaf dry mass: in case of compound leaves leaf; petiole included	32.8	mg
52655	Achillea millefolium	2725110	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.298076923076923	g/g
52726	Achillea millefolium	2725118	163	Leaf fresh mass	Leaf fresh mass: in case of compound leaves leaf; petiole included	0.1549	g
52790	Achillea millefolium	2725125	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.234429065743945	g/g
52879	Achillea millefolium	2725135	163	Leaf fresh mass	Leaf fresh mass: in case of compound leaves leaf; petiole included	0.247	g
52888	Achillea millefolium	2725136	163	Leaf fresh mass	Leaf fresh mass: in case of compound leaves leaf; petiole included	0.1948	g
52951	Achillea millefolium	2725143	163	Leaf fresh mass	Leaf fresh mass: in case of compound leaves leaf; petiole included	0.1563	g
52968	Trifolium pratense	2727441	55	Leaf dry mass (single leaf)	Leaf dry mass: in case of compound leaves leaf; petiole included	19.2	mg
53050	Trifolium pratense	2727450	163	Leaf fresh mass	Leaf fresh mass: in case of compound leaves leaf; petiole included	0.0822	g
53123	Trifolium pratense	2727458	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.383177570093458	g/g
53132	Trifolium pratense	2727459	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.484033613445378	g/g
53212	Trifolium pratense	2727468	163	Leaf fresh mass	Leaf fresh mass: in case of compound leaves leaf; petiole included	0.1384	g
53311	Trifolium pratense	2727479	163	Leaf fresh mass	Leaf fresh mass: in case of compound leaves leaf; petiole included	0.1641	g
53337	Trifolium pratense	2727482	55	Leaf dry mass (single leaf)	Leaf dry mass: in case of compound leaves leaf; petiole included	19.7	mg
53338	Trifolium pratense	2727482	163	Leaf fresh mass	Leaf fresh mass: in case of compound leaves leaf; petiole included	0.0608	g
53364	Trifolium pratense	2727485	55	Leaf dry mass (single leaf)	Leaf dry mass: in case of compound leaves leaf; petiole included	26.8	mg
53374	Trifolium pratense	2727486	163	Leaf fresh mass	Leaf fresh mass: in case of compound leaves leaf; petiole included	0.1996	g
53411	Trifolium pratense	2727490	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.355182926829268	g/g
53446	Trifolium pratense	2727494	163	Leaf fresh mass	Leaf fresh mass: in case of compound leaves leaf; petiole included	0.5093	g
53455	Trifolium pratense	2727495	163	Leaf fresh mass	Leaf fresh mass: in case of compound leaves leaf; petiole included	0.07	g
53528	Trifolium pratense	2727503	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.35609756097561	g/g
53535	Trifolium pratense	2727504	55	Leaf dry mass (single leaf)	Leaf dry mass: in case of compound leaves leaf; petiole included	21.4	mg
53560	Achillea millefolium	2730915	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	14.988	mg/g
53576	Achillea millefolium	2730917	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen content per dry mass (Nmass)	16.323	mg/g
53852	Achillea millefolium	2949869	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Shoot dry mass	0.0191	g
53912	Dactylis glomerata	2949911	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.275	g/g
53934	Dactylis glomerata	2949924	42	Plant growth form	Plant growth form	grass	
54125	Achillea millefolium	2950046	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Whole plant aboveground vegetative dry mass per individual plant	0.1087	g
54152	Achillea millefolium	2950066	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Whole plant aboveground vegetative dry mass per individual plant	0.0147	g
54218	Dactylis glomerata	2950109	42	Plant growth form	Plant growth form	grass	
54312	Dactylis glomerata	2950164	3106	Plant height vegetative	Vegetative plant height elongated	0.047	m
54354	Dactylis glomerata	2950198	3106	Plant height vegetative	Plant height vegetative	0.13	m
54362	Achillea millefolium	2950208	42	Plant growth form	Plant growth form	herb	
54366	Achillea millefolium	2950208	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	13.852119	mm2 mg-1
54438	Dactylis glomerata	2950256	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Shoot dry mass	0.0099	g
54497	Dactylis glomerata	2950288	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	25.692877	mm2 mg-1
54650	Achillea millefolium	2950386	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	24.075322	mm2 mg-1
54723	Dactylis glomerata	2950424	3106	Plant height vegetative	Plant height vegetative	0.17	m
54751	Dactylis glomerata	2950439	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.2601626	g/g
54763	Achillea millefolium	2950445	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Whole plant aboveground vegetative dry mass per individual plant	0.182	g
54805	Dactylis glomerata	2950467	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Whole plant aboveground vegetative dry mass per individual plant	0.205	g
54885	Achillea millefolium	2950532	42	Plant growth form	Plant growth form	herb	
54949	Achillea millefolium	2950562	3106	Plant height vegetative	Plant height vegetative	0.04	m
55047	Dactylis glomerata	2950618	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Whole plant aboveground vegetative dry mass per individual plant	0.28	g
55194	Dactylis glomerata	2950704	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.528169	g/g
55223	Dactylis glomerata	2950724	42	Plant growth form	Plant growth form	grass	
55251	Achillea millefolium	2950736	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen concentration  (NIRS based)	18.13133333	mg/g
55326	Achillea millefolium	2950796	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen concentration  (NIRS based)	23.465	mg/g
55341	Dactylis glomerata	2950804	3106	Plant height vegetative	Plant height vegetative	0.131	m
55431	Achillea millefolium	2950856	3106	Plant height vegetative	Plant height vegetative	0.024	m
55465	Achillea millefolium	2950876	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.3	g/g
55585	Dactylis glomerata	2950964	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	33.05166	mm2 mg-1
55631	Achillea millefolium	2950996	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Shoot dry mass	1.0071	g
55689	Dactylis glomerata	2951024	3106	Plant height vegetative	Plant height vegetative	0.115	m
55809	Dactylis glomerata	2951104	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Shoot dry mass	0.4048	g
55843	Dactylis glomerata	2951124	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen concentration  (NIRS based)	23.86233333	mg/g
55838	Dactylis glomerata	2951124	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	15.18436	mm2 mg-1
55868	Dactylis glomerata	2951144	42	Plant growth form	Plant growth form	grass	
55934	Dactylis glomerata	2951184	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Shoot dry mass	0.2272	g
55938	Dactylis glomerata	2951184	3106	Plant height vegetative	Plant height vegetative	0.114	m
55955	Achillea millefolium	2951196	3106	Plant height vegetative	Plant height vegetative	0.026	m
55963	Dactylis glomerata	2951204	42	Plant growth form	Plant growth form	grass	
55985	Achillea millefolium	2951216	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	11.93799	mm2 mg-1
56005	Dactylis glomerata	2951224	3106	Plant height vegetative	Plant height vegetative	0.083	m
56040	Dactylis glomerata	2951244	3106	Plant height vegetative	Plant height vegetative	0.184	m
56066	Dactylis glomerata	2951264	42	Plant growth form	Plant growth form	grass	
56211	Dactylis glomerata	2951344	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen concentration  (NIRS based)	18.436	mg/g
56380	Achillea millefolium	2951476	13	Leaf carbon (C) content per leaf dry mass	Leaf carbon concentration (NIRS based)	433.39	mg/g
56376	Achillea millefolium	2951476	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	14.29497	mm2 mg-1
56416	Dactylis glomerata	2951504	42	Plant growth form	Plant growth form	grass	
56443	Dactylis glomerata	2951524	42	Plant growth form	Plant growth form	grass	
56506	Dactylis glomerata	2951564	14	Leaf nitrogen (N) content per leaf dry mass	Leaf nitrogen concentration  (NIRS based)	25.11733333	mg/g
56499	Dactylis glomerata	2951564	403	Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	Shoot dry mass	0.1442	g
56501	Dactylis glomerata	2951564	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	32.87516	mm2 mg-1
56537	Achillea millefolium	2951596	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.2408163	g/g
56576	Dactylis glomerata	2951624	42	Plant growth form	Plant growth form	grass	
58192	Achillea millefolium	3033965	42	Plant growth form	Plant growth form	H	
58888	Achillea millefolium	3033974	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	10.17421603	mm2 mg-1
59193	Achillea millefolium	3033978	42	Plant growth form	Plant growth form	H	
59349	Achillea millefolium	3033980	47	Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC)	Leaf dry matter content per leaf water-saturated mass (LDMC)	0.2010353753	g/g
60255	Dactylis glomerata	3035189	42	Plant growth form	Plant growth form	H	
