image_path,cluster_id,leaf,flower,stem,hand,background/undefined,filename,obs_id,group,y_true,y_pred
lythrum_virgatum_1111.jpeg_region_2.png,25,1.0,,1.0,,,lythrum_virgatum_1111.jpeg,33281,lythrum_virgatum,0,0
lythrum_salicaria_7620.jpg_region_1.png,19,1.0,,1.0,,,lythrum_salicaria_7620.jpg,7619,lythrum_salicaria,0,0
lythrum_alatum_5059.jpeg_region_2.png,27,,,,,1.0,lythrum_alatum_5059.jpeg,39768,lythrum_alatum,1,1
lythrum_salicaria_4752.jpeg_region_2.png,12,1.0,,1.0,,,lythrum_salicaria_4752.jpeg,4751,lythrum_salicaria,0,1
lythrum_alatum_2102.jpeg_region_9.png,25,1.0,,1.0,,,lythrum_alatum_2102.jpeg,36811,lythrum_alatum,1,1
lythrum_alatum_5721.jpeg_region_2.png,19,1.0,,1.0,,,lythrum_alatum_5721.jpeg,40430,lythrum_alatum,1,1
lythrum_gracile_091.jpg_region_2.png,26,,,,,1.0,lythrum_gracile_091.jpg,16711,lythrum_gracile,1,1
lythrum_junceum_207.jpg_region_5.png,1,,1.0,,,,lythrum_junceum_207.jpg,13537,lythrum_junceum,1,1
lythrum_junceum_834.jpeg_region_4.png,8,1.0,,,,,lythrum_junceum_834.jpeg,14164,lythrum_junceum,1,1
lythrum_portula_885.jpeg_region_1.png,10,1.0,,1.0,,,lythrum_portula_885.jpeg,18044,lythrum_portula,1,1
lythrum_salicaria_1884.jpeg_region_5.png,14,,,,,1.0,lythrum_salicaria_1884.jpeg,1883,lythrum_salicaria,0,1
lythrum_portula_1731.jpeg_region_2.png,11,,,,,1.0,lythrum_portula_1731.jpeg,18890,lythrum_portula,1,1
lythrum_salicaria_4768.jpeg_region_1.png,22,,,,,1.0,lythrum_salicaria_4768.jpeg,4767,lythrum_salicaria,0,0
lythrum_salicaria_10318.jpg_region_3.png,15,,,,,1.0,lythrum_salicaria_10318.jpg,10317,lythrum_salicaria,0,0
lythrum_salicaria_2802.jpeg_region_4.png,14,,,,,1.0,lythrum_salicaria_2802.jpeg,2801,lythrum_salicaria,0,1
lythrum_alatum_3280.jpg_region_5.png,5,1.0,,1.0,,,lythrum_alatum_3280.jpg,37989,lythrum_alatum,1,0
lythrum_salicaria_6575.jpeg_region_2.png,14,,,,,1.0,lythrum_salicaria_6575.jpeg,6574,lythrum_salicaria,0,0
lythrum_alatum_8031.jpeg_region_2.png,16,1.0,1.0,1.0,,,lythrum_alatum_8031.jpeg,42740,lythrum_alatum,1,1
lythrum_alatum_5671.jpg_region_3.png,8,1.0,,,,,lythrum_alatum_5671.jpg,40380,lythrum_alatum,1,1
lythrum_alatum_5843.jpg_region_1.png,1,,1.0,,,,lythrum_alatum_5843.jpg,40552,lythrum_alatum,1,1
lythrum_salicaria_11897.jpeg_region_1.png,9,,1.0,,,,lythrum_salicaria_11897.jpeg,11896,lythrum_salicaria,0,0
lythrum_californicum_1464.jpg_region_3.png,7,1.0,,1.0,,,lythrum_californicum_1464.jpg,21509,lythrum_californicum,1,1
lythrum_salicaria_3216.jpg_region_3.png,28,,1.0,,,,lythrum_salicaria_3216.jpg,3215,lythrum_salicaria,0,0
lythrum_alatum_5988.jpeg_region_7.png,21,,,,1.0,1.0,lythrum_alatum_5988.jpeg,40697,lythrum_alatum,1,1
lythrum_alatum_1929.jpg_region_2.png,8,1.0,,,,,lythrum_alatum_1929.jpg,36638,lythrum_alatum,1,1
lythrum_alatum_5951.jpg_region_5.png,16,1.0,1.0,1.0,,,lythrum_alatum_5951.jpg,40660,lythrum_alatum,1,1
