,filename,obs_id,group,y_true,y_pred,hand,background/undefined,characteristic_traits,coverage_frac
0,lythrum_virgatum_1111.jpeg,33281,lythrum virgatum,0,0,,,"['opposite', 'sessile', 'narrower at the base', 'erect']",0.10536533333333334
1,lythrum_salicaria_7620.jpg,7619,lythrum salicaria,0,0,,,"['opposite', 'sessile', 'opposite, becoming alternate distally', 'rounded at the base', 'erect']",0.10988856304985337
2,lythrum_alatum_5059.jpeg,39768,lythrum alatum,1,1,,1.0,[],0.06132701421800948
3,lythrum_salicaria_4752.jpeg,4751,lythrum salicaria,0,1,,,"['opposite', 'sessile', 'opposite, becoming alternate distally', 'rounded at the base', 'erect']",0.04408
4,lythrum_alatum_2102.jpeg,36811,lythrum alatum,1,1,,,"['opposite', 'opposite, becoming alternate distally', 'sessile', 'attenuate at the base', 'erect']",0.227184
5,lythrum_alatum_5721.jpeg,40430,lythrum alatum,1,1,,,"['opposite', 'opposite, becoming alternate distally', 'sessile', 'attenuate at the base', 'erect']",0.08928
6,lythrum_gracile_091.jpg,16711,lythrum gracile,1,1,,1.0,[],0.060378666666666664
7,lythrum_junceum_207.jpg,13537,lythrum junceum,1,1,,,"['inflorescence raceme', 'flowers solitary in leaf axils', 'floral tube obconic', 'floral tube red dotted', 'petals purple', 'stamens 12']",0.07676266666666667
8,lythrum_junceum_834.jpeg,14164,lythrum junceum,1,1,,,"['alternate', 'subsessile', 'obtuse to truncate at the base']",0.10742857142857143
9,lythrum_portula_885.jpeg,18044,lythrum portula,1,1,,,"['opposite', 'sessile', 'prostrate and spreading']",0.04006606606606607
10,lythrum_salicaria_1884.jpeg,1883,lythrum salicaria,0,1,,1.0,[],0.105003003003003
11,lythrum_portula_1731.jpeg,18890,lythrum portula,1,1,,1.0,[],0.079088
12,lythrum_salicaria_4768.jpeg,4767,lythrum salicaria,0,0,,1.0,[],0.054730666666666664
13,lythrum_salicaria_10318.jpg,10317,lythrum salicaria,0,0,,1.0,[],0.064448
14,lythrum_salicaria_2802.jpeg,2801,lythrum salicaria,0,1,,1.0,[],0.10089221556886227
15,lythrum_alatum_3280.jpg,37989,lythrum alatum,1,0,,,"['opposite', 'opposite, becoming alternate distally', 'sessile', 'attenuate at the base', 'erect']",0.09306133333333333
16,lythrum_salicaria_6575.jpeg,6574,lythrum salicaria,0,0,,1.0,[],0.10033093525179856
17,lythrum_alatum_8031.jpeg,42740,lythrum alatum,1,1,,,"['opposite', 'opposite, becoming alternate distally', 'sessile', 'attenuate at the base', 'inflorescence raceme', 'petals purple', 'floral tube cylindrical', 'stamens 6', 'erect']",0.031008
18,lythrum_alatum_5671.jpg,40380,lythrum alatum,1,1,,,"['opposite', 'opposite, becoming alternate distally', 'sessile', 'attenuate at the base']",0.0871484593837535
19,lythrum_alatum_5843.jpg,40552,lythrum alatum,1,1,,,"['inflorescence raceme', 'petals purple', 'floral tube cylindrical', 'stamens 6']",0.022485333333333333
20,lythrum_salicaria_11897.jpeg,11896,lythrum salicaria,0,0,,,"['inflorescence spikelike', 'flowers in whorled clusters', 'calyx with alternate long and small teeth', 'floral tube cylindrical', 'petals purple', 'stamens 12']",0.02736
21,lythrum_californicum_1464.jpg,21509,lythrum californicum,1,1,,,"['opposite', 'opposite, becoming alternate distally', 'linear', 'erect']",0.058756756756756755
22,lythrum_salicaria_3216.jpg,3215,lythrum salicaria,0,0,,,"['inflorescence spikelike', 'flowers in whorled clusters', 'calyx with alternate long and small teeth', 'floral tube cylindrical', 'petals purple', 'stamens 12']",0.12752610441767068
23,lythrum_alatum_5988.jpeg,40697,lythrum alatum,1,1,1.0,1.0,[],0.10793877551020409
24,lythrum_alatum_1929.jpg,36638,lythrum alatum,1,1,,,"['opposite', 'opposite, becoming alternate distally', 'sessile', 'attenuate at the base']",0.026448
25,lythrum_alatum_5951.jpg,40660,lythrum alatum,1,1,,,"['opposite', 'opposite, becoming alternate distally', 'sessile', 'attenuate at the base', 'inflorescence raceme', 'petals purple', 'floral tube cylindrical', 'stamens 6', 'erect']",0.17350933333333332
