filename,url,license_code,observation_id,quality_grade,latitude,longitude,label
lythrum_bryantii_001.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/341676008/medium.jpeg,cc-by-nc,194385904.0,research,24.6752524967,-111.6895934728,native
lythrum_bryantii_002.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/341667333/medium.jpeg,cc-by,194381300.0,research,24.6650111111,-111.67315,native
lythrum_bryantii_003.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/341667352/medium.jpeg,cc-by,194381300.0,research,24.6650111111,-111.67315,native
lythrum_bryantii_004.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/341667361/medium.jpeg,cc-by,194381300.0,research,24.6650111111,-111.67315,native
lythrum_bryantii_005.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/341665845/medium.jpeg,cc-by,194380674.0,research,24.6698944444,-111.7040555556,native
lythrum_bryantii_006.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/341665876/medium.jpeg,cc-by,194380674.0,research,24.6698944444,-111.7040555556,native
lythrum_bryantii_007.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/341665901/medium.jpeg,cc-by,194380674.0,research,24.6698944444,-111.7040555556,native
lythrum_bryantii_008.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/341665918/medium.jpeg,cc-by,194380674.0,research,24.6698944444,-111.7040555556,native
lythrum_bryantii_009.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/292126188/medium.jpeg,cc-by-nc,168553792.0,research,25.8238263443,-111.5372641061,native
lythrum_bryantii_010.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/50527826/medium.jpeg,cc-by-nc,32227742.0,research,24.7044663703,-111.6957780536,native
lythrum_bryantii_011.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/7604710/medium.jpeg,cc-by-nc,6077663.0,needs_id,25.3254078402,-111.6307067871,native
lythrum_bryantii_012.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/7576906/medium.jpg,cc-by-nc,6047133.0,research,24.9956267838,-110.8574581146,native
lythrum_bryantii_013.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/7576909/medium.jpg,cc-by-nc,6047133.0,research,24.9956267838,-110.8574581146,native
lythrum_bryantii_014.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/7576924/medium.jpg,cc-by-nc,6047133.0,research,24.9956267838,-110.8574581146,native
